Source Name	Material Type	Term Source REF	Characteristics[OrganismPart]	Term Source REF	Characteristics[Organism]	Characteristics[DiseaseState]	Term Source REF	Characteristics[ClinicalInformation]	Characteristics[BioSourceProvider]	Description	Protocol REF	Sample Name	Material Type	Term Source REF	Protocol REF	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DISEASESTATE]	Term Source REF	Factor Value[CELLLINE]	Factor Value[CLINICALINFORMATION]	Factor Value[BIOSOURCEPROVIDER]	Factor Value[ORGANISMPART]	Term Source REF
639V - Replicate 2	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 413	P-MTAB-1063	639V - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	639V-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 11.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 11	A-AFFY-44	P-MTAB-1068	639-V_SS331434_HG-U133_Plus_2_HCHP-172109_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	639-V_SS331434_HG-U133_Plus_2_HCHP-172109_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	639V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
639V - Replicate 3	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 413	P-MTAB-1063	639V - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	639V-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 12.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 12	A-AFFY-44	P-MTAB-1068	639-V_SS331435_HG-U133_Plus_2_HCHP-172110_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	639-V_SS331435_HG-U133_Plus_2_HCHP-172110_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	639V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
647V - Replicate 1	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 414	P-MTAB-1063	647V - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	647V-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 13.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 13	A-AFFY-44	P-MTAB-1068	647-V_SS331437_HG-U133_Plus_2_HCHP-209467_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	647-V_SS331437_HG-U133_Plus_2_HCHP-209467_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	647V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
647V - Replicate 3	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 414	P-MTAB-1063	647V - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	647V-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 14.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 14	A-AFFY-44	P-MTAB-1068	647-V_SS331438_HG-U133_Plus_2_HCHP-209468_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	647-V_SS331438_HG-U133_Plus_2_HCHP-209468_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	647V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
647V - Replicate 2	Cell	The MGED Ontology	Bladder	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 67	DSMZ	CatalogNumber: ACC 414	P-MTAB-1063	647V - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	647V-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 15.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 15	A-AFFY-44	P-MTAB-1068	647-V_SS331439_HG-U133_Plus_2_HCHP-209469_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	647-V_SS331439_HG-U133_Plus_2_HCHP-209469_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	647V	ICDO: 67	DSMZ	Bladder	NCI Thesaurus
769P - Replicate 3	Cell	The MGED Ontology	Kidney	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 64	ATCC	CatalogNumber: CRL-1933	P-MTAB-1063	769P - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	769P-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 16.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 16	A-AFFY-44	P-MTAB-1068	769-P_SS269589_HG-U133_Plus_2_HCHP-182939_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	769-P_SS269589_HG-U133_Plus_2_HCHP-182939_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	769P	ICDO: 64	ATCC	Kidney	NCI Thesaurus
769P - Replicate 2	Cell	The MGED Ontology	Kidney	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 64	ATCC	CatalogNumber: CRL-1933	P-MTAB-1063	769P - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	769P-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 17.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 17	A-AFFY-44	P-MTAB-1068	769-P_SS269590_HG-U133_Plus_2_HCHP-182940_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	769-P_SS269590_HG-U133_Plus_2_HCHP-182940_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	769P	ICDO: 64	ATCC	Kidney	NCI Thesaurus
769P - Replicate 1	Cell	The MGED Ontology	Kidney	NCI Thesaurus	Homo sapiens	Carcinoma	NCI Thesaurus	ICDO: 64	ATCC	CatalogNumber: CRL-1933	P-MTAB-1063	769P - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	769P-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 18.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 18	A-AFFY-44	P-MTAB-1068	769-P_SS269591_HG-U133_Plus_2_HCHP-182941_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	769-P_SS269591_HG-U133_Plus_2_HCHP-182941_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Carcinoma	NCI Thesaurus	769P	ICDO: 64	ATCC	Kidney	NCI Thesaurus
A101D - Replicate 3	Cell	The MGED Ontology	Skin	NCI Thesaurus	Homo sapiens	Melanoma	NCI Thesaurus	ICDO: 44	ATCC	CatalogNumber: CRL-7898	P-MTAB-1063	A101D - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A101D-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 19.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 19	A-AFFY-44	P-MTAB-1068	A101D_SS286985_HG-U133_Plus_2_HCHP-173999_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A101D_SS286985_HG-U133_Plus_2_HCHP-173999_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Melanoma	NCI Thesaurus	A101D	ICDO: 44	ATCC	Skin	NCI Thesaurus
A101D - Replicate 2	Cell	The MGED Ontology	Skin	NCI Thesaurus	Homo sapiens	Melanoma	NCI Thesaurus	ICDO: 44	ATCC	CatalogNumber: CRL-7898	P-MTAB-1063	A101D - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A101D-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 20.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 20	A-AFFY-44	P-MTAB-1068	A101D_SS286986_HG-U133_Plus_2_HCHP-174000_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A101D_SS286986_HG-U133_Plus_2_HCHP-174000_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Melanoma	NCI Thesaurus	A101D	ICDO: 44	ATCC	Skin	NCI Thesaurus
A101D - Replicate 1	Cell	The MGED Ontology	Skin	NCI Thesaurus	Homo sapiens	Melanoma	NCI Thesaurus	ICDO: 44	ATCC	CatalogNumber: CRL-7898	P-MTAB-1063	A101D - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A101D-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 21.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 21	A-AFFY-44	P-MTAB-1068	A101D_SS286987_HG-U133_Plus_2_HCHP-174001_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A101D_SS286987_HG-U133_Plus_2_HCHP-174001_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Melanoma	NCI Thesaurus	A101D	ICDO: 44	ATCC	Skin	NCI Thesaurus
A172 - Replicate 3	Cell	The MGED Ontology	Brain	NCI Thesaurus	Homo sapiens	Brain Glioblastoma	NCI Thesaurus	ICDO: 71	ATCC	CatalogNumber: CRL-1620	P-MTAB-1063	A172 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A172-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 22.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 22	A-AFFY-44	P-MTAB-1068	A172_SS269593_HG-U133_Plus_2_HCHP-167347_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A172_SS269593_HG-U133_Plus_2_HCHP-167347_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Brain Glioblastoma	NCI Thesaurus	A172	ICDO: 71	ATCC	Brain	NCI Thesaurus
A172 - Replicate 2	Cell	The MGED Ontology	Brain	NCI Thesaurus	Homo sapiens	Brain Glioblastoma	NCI Thesaurus	ICDO: 71	ATCC	CatalogNumber: CRL-1620	P-MTAB-1063	A172 - Replicate 2	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A172-Replicate 2	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 23.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 23	A-AFFY-44	P-MTAB-1068	A172_SS269594_HG-U133_Plus_2_HCHP-167348_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A172_SS269594_HG-U133_Plus_2_HCHP-167348_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Brain Glioblastoma	NCI Thesaurus	A172	ICDO: 71	ATCC	Brain	NCI Thesaurus
A172 - Replicate 1	Cell	The MGED Ontology	Brain	NCI Thesaurus	Homo sapiens	Brain Glioblastoma	NCI Thesaurus	ICDO: 71	ATCC	CatalogNumber: CRL-1620	P-MTAB-1063	A172 - Replicate 1	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A172-Replicate 1	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 24.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 24	A-AFFY-44	P-MTAB-1068	A172_SS269595_HG-U133_Plus_2_HCHP-167349_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A172_SS269595_HG-U133_Plus_2_HCHP-167349_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Brain Glioblastoma	NCI Thesaurus	A172	ICDO: 71	ATCC	Brain	NCI Thesaurus
A204 - Replicate 3	Cell	The MGED Ontology	Muscle	NCI Thesaurus	Homo sapiens	Rhabdomyosarcoma	NCI Thesaurus	ICDO: 49	ATCC	CatalogNumber: HTB-82	P-MTAB-1063	A204 - Replicate 3	cDNA	The MGED Ontology	P-MTAB-1064	P-MTAB-1065	A204-Replicate 3	cRNA	The MGED Ontology	P-MTAB-1066	Labeled Extract 25.biotin	biotin	NCI Thesaurus	P-MTAB-1067	Hybridization 25	A-AFFY-44	P-MTAB-1068	A204_SS331349_HG-U133_Plus_2_HCHP-173247_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.raw.1.zip	P-MTAB-1069	A204_SS331349_HG-U133_Plus_2_HCHP-173247_.mas5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-37/E-MTAB-37.processed.1.zip	Rhabdomyosarcoma	NCI Thesaurus	A204	ICDO: 49	ATCC	Muscle	NCI Thesaurus
